,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
0,yellowknife,CA,62.46,-114.35,64.4,48.0,40,5.82,1594954402.0
1,punta arenas,CL,-53.15,-70.92,30.2,86.0,0,4.7,1594954402.0
2,mitsamiouli,KM,-11.38,43.28,74.75,72.0,0,22.37,1594954402.0
3,atuona,PF,-9.8,-139.03,79.72,76.0,6,17.52,1594954402.0
4,kamenka,RU,51.32,42.77,57.0,79.0,74,1.01,1594954402.0
5,neiafu,TO,-18.65,-173.98,80.6,78.0,40,8.05,1594954402.0
6,yulara,AU,-25.24,130.99,60.8,29.0,0,10.29,1594954402.0
8,vaini,TO,-21.2,-175.2,78.8,78.0,75,8.05,1594954402.0
9,cape town,ZA,-33.93,18.42,48.0,93.0,0,4.7,1594954402.0
10,upernavik,GL,72.79,-56.15,44.35,73.0,96,4.79,1594954402.0
11,saint-philippe,RE,-21.36,55.77,64.4,82.0,75,5.82,1594954403.0
12,lebu,CL,-37.62,-73.65,52.86,91.0,100,22.26,1594954403.0
13,jamestown,US,42.1,-79.24,73.0,94.0,90,4.7,1594954403.0
14,severo-kurilsk,RU,50.68,156.12,54.84,86.0,95,1.23,1594954403.0
15,busselton,AU,-33.65,115.33,55.0,97.0,63,18.21,1594954403.0
16,vestmannaeyjar,IS,63.44,-20.27,51.33,89.0,100,11.81,1594954403.0
17,olafsvik,IS,64.89,-23.71,48.27,74.0,98,28.66,1594954403.0
18,burshtyn,UA,49.26,24.63,56.55,94.0,100,4.36,1594954403.0
20,langsa,ID,4.47,97.97,80.46,86.0,51,2.17,1594954403.0
21,albany,US,42.6,-73.97,66.99,84.0,100,1.01,1594954403.0
22,bredasdorp,ZA,-34.53,20.04,44.6,87.0,0,6.93,1594954403.0
23,tiksi,RU,71.69,128.87,39.94,81.0,97,24.58,1594954404.0
24,lazaro cardenas,MX,17.96,-102.2,81.34,84.0,73,0.51,1594954404.0
25,cabo san lucas,MX,22.89,-109.91,84.99,45.0,5,12.75,1594954404.0
26,dunedin,NZ,-45.87,170.5,48.99,62.0,25,13.24,1594954404.0
27,georgetown,MY,5.41,100.34,84.2,78.0,20,2.24,1594954290.0
28,new norfolk,AU,-42.78,147.06,50.0,84.0,0,1.01,1594954404.0
29,bolgatanga,GH,10.79,-0.85,74.14,86.0,100,5.37,1594954404.0
30,tasiilaq,GL,65.61,-37.64,44.6,65.0,3,12.75,1594954404.0
31,lavrentiya,RU,65.58,-171.0,52.59,75.0,100,3.74,1594954405.0
32,kapaa,US,22.08,-159.32,84.2,70.0,20,9.17,1594954405.0
33,port elizabeth,ZA,-33.92,25.57,42.8,93.0,0,2.24,1594954405.0
34,naze,JP,28.37,129.48,82.4,83.0,75,13.87,1594954405.0
35,norman wells,CA,65.28,-126.83,66.2,72.0,75,12.75,1594954405.0
36,bluff,NZ,-46.6,168.33,39.0,83.0,39,3.0,1594954405.0
37,ribeira grande,PT,38.52,-28.7,69.04,78.0,31,9.84,1594954405.0
38,rio grande,BR,-32.03,-52.1,46.99,97.0,1,6.89,1594954207.0
39,victor harbor,AU,-35.57,138.62,57.99,83.0,0,8.55,1594954405.0
41,ushuaia,AR,-54.8,-68.3,28.4,74.0,0,4.7,1594954405.0
42,kovernino,RU,57.13,43.81,56.7,91.0,85,6.93,1594954405.0
43,hue,VN,16.47,107.6,89.6,66.0,20,4.7,1594954406.0
44,qaanaaq,GL,77.48,-69.36,43.07,74.0,55,3.38,1594954406.0
45,faya,SA,18.39,42.45,69.8,49.0,45,10.69,1594954406.0
46,egvekinot,RU,66.32,-179.17,57.24,73.0,73,5.66,1594954406.0
48,san cristobal,VE,7.77,-72.22,64.78,91.0,26,3.49,1594954406.0
49,rikitea,PF,-23.12,-134.97,73.69,81.0,100,4.74,1594954406.0
50,srednekolymsk,RU,67.45,153.68,45.68,87.0,100,8.19,1594954406.0
51,tuatapere,NZ,-46.13,167.68,39.0,83.0,48,3.0,1594954406.0
52,hermanus,ZA,-34.42,19.23,44.01,89.0,0,3.0,1594954406.0
53,avarua,CK,-21.21,-159.78,73.4,64.0,97,9.17,1594954406.0
55,edd,ER,13.93,41.69,93.56,36.0,98,5.39,1594954406.0
56,pimentel,PE,-6.84,-79.93,61.21,87.0,0,9.98,1594954407.0
58,constitucion,CL,-35.33,-72.42,52.93,90.0,100,9.28,1594954407.0
59,victoria,HK,22.29,114.16,89.01,62.0,97,11.01,1594954182.0
60,dzilam gonzalez,MX,21.28,-88.93,78.31,89.0,14,6.42,1594954407.0
61,vao,NC,-22.67,167.48,69.24,63.0,0,16.91,1594954407.0
62,covington,US,39.08,-84.51,78.01,78.0,75,5.82,1594954407.0
63,isangel,VU,-19.55,169.27,80.6,69.0,18,6.93,1594954407.0
64,mataura,NZ,-46.19,168.86,39.0,83.0,32,3.0,1594954407.0
65,kaohsiung,TW,22.62,120.31,87.8,74.0,75,6.93,1594954407.0
66,beloha,MG,-25.17,45.05,58.24,78.0,26,5.59,1594954407.0
67,codrington,AU,-38.27,141.97,54.79,68.0,0,8.1,1594954407.0
68,arraial do cabo,BR,-22.97,-42.03,64.4,82.0,20,5.82,1594954407.0
69,la ronge,CA,55.1,-105.28,64.4,68.0,40,4.7,1594954407.0
70,parfenyevo,RU,58.48,43.41,55.69,96.0,76,6.13,1594954408.0
71,sitka,US,57.05,-135.33,59.0,77.0,90,9.17,1594954408.0
72,yellapur,IN,14.97,74.72,71.6,94.0,75,6.93,1594954408.0
73,mount gambier,AU,-37.83,140.77,55.4,66.0,0,12.75,1594954408.0
75,fairbanks,US,64.84,-147.72,68.0,52.0,20,4.7,1594954290.0
76,husavik,IS,66.04,-17.34,48.2,87.0,90,23.04,1594954408.0
77,azare,NG,11.68,10.19,76.41,76.0,100,10.56,1594954408.0
78,tuktoyaktuk,CA,69.45,-133.04,55.4,71.0,20,13.87,1594954408.0
79,faanui,PF,-16.48,-151.75,77.59,81.0,5,10.96,1594954408.0
80,cherskiy,RU,68.75,161.3,58.96,43.0,0,10.2,1594954408.0
81,menongue,AO,-14.66,17.69,46.27,63.0,0,7.2,1594954408.0
82,provideniya,RU,64.38,-173.3,55.4,71.0,90,5.95,1594954409.0
83,vila,PT,42.03,-8.16,66.99,71.0,64,14.0,1594954409.0
84,douglas,US,41.3,-96.17,80.6,74.0,75,5.82,1594954409.0
85,ambulu,ID,-8.35,113.61,83.17,61.0,0,4.38,1594954409.0
86,grand gaube,MU,-20.01,57.66,66.99,82.0,0,4.0,1594954409.0
87,jalu,LY,29.03,21.55,76.23,46.0,0,6.76,1594954409.0
88,hobyo,SO,5.35,48.53,77.36,67.0,100,22.21,1594954409.0
89,broome,US,42.25,-75.83,71.01,82.0,90,13.87,1594954410.0
90,lagoa,PT,39.05,-27.98,68.95,80.0,100,10.76,1594954410.0
91,deep river,CA,46.1,-77.5,69.8,88.0,90,2.08,1594954410.0
92,port hardy,CA,50.7,-127.42,57.2,82.0,90,10.29,1594954410.0
93,port alfred,ZA,-33.59,26.89,56.28,39.0,0,6.98,1594954410.0
94,bethel,US,41.37,-73.41,66.2,72.0,1,3.36,1594954410.0
95,kitzbuhel,AT,47.45,12.39,53.01,96.0,100,1.9,1594954410.0
96,caceres,ES,39.52,-6.37,75.74,31.0,15,4.38,1594954410.0
97,chippewa falls,US,44.94,-91.39,75.2,53.0,1,8.05,1594953901.0
98,udachnyy,RU,66.42,112.4,66.2,52.0,40,11.18,1594954410.0
99,tera,NE,14.01,0.75,82.15,67.0,86,16.64,1594954411.0
100,sembe,CG,1.65,14.58,69.28,93.0,85,2.59,1594954411.0
101,hithadhoo,MV,-0.6,73.08,84.22,72.0,94,9.66,1594954411.0
102,vila franca do campo,PT,37.72,-25.43,68.0,82.0,75,8.05,1594954411.0
105,nyamati,IN,14.15,75.58,73.53,86.0,100,13.56,1594954411.0
106,velingara,SN,13.15,-14.12,73.78,94.0,72,5.35,1594954411.0
108,elban,RU,50.1,136.51,74.73,85.0,100,4.99,1594954411.0
109,nueve de julio,AR,-35.44,-60.88,48.0,72.0,0,1.99,1594954411.0
110,cervo,ES,43.67,-7.41,59.0,78.0,80,1.99,1594954411.0
111,slupca,PL,52.29,17.87,55.99,92.0,3,5.55,1594954411.0
113,butaritari,KI,3.07,172.79,83.34,71.0,100,10.02,1594954411.0
114,trelew,AR,-43.25,-65.31,41.74,84.0,100,10.94,1594954411.0
115,bengkulu,ID,-3.8,102.27,82.94,73.0,43,6.55,1594954162.0
116,fortuna,US,40.6,-124.16,62.01,93.0,90,9.17,1594954412.0
117,klaksvik,FO,62.23,-6.59,50.0,87.0,86,12.75,1594954412.0
118,ilulissat,GL,69.22,-51.1,48.2,70.0,91,2.24,1594954412.0
119,naryan-mar,RU,67.67,53.09,52.2,73.0,44,9.31,1594954412.0
120,te anau,NZ,-45.42,167.72,44.62,59.0,68,0.51,1594954412.0
121,olindina,BR,-11.37,-38.33,64.54,93.0,19,4.47,1594954412.0
122,airai,TL,-8.93,125.41,73.18,58.0,0,3.6,1594954412.0
123,ferrandina,IT,40.5,16.45,69.01,93.0,75,3.36,1594954412.0
124,kailua,US,21.4,-157.74,84.2,66.0,40,12.75,1594954412.0
125,junagarh,IN,19.87,82.93,83.35,72.0,31,8.14,1594954412.0
126,terney,RU,45.05,136.61,78.46,56.0,2,10.54,1594954412.0
127,balabac,PH,7.99,117.06,85.44,72.0,100,11.54,1594954413.0
128,san patricio,MX,19.22,-104.7,82.4,74.0,75,3.2,1594954413.0
129,chuy,UY,-33.7,-53.46,46.08,93.0,0,3.74,1594954413.0
130,kavieng,PG,-2.57,150.8,85.39,66.0,10,5.41,1594954413.0
131,barrow,US,71.29,-156.79,35.6,74.0,90,13.87,1594954413.0
132,katsuura,JP,35.13,140.3,69.01,94.0,75,19.46,1594954413.0
134,kondagaon,IN,19.6,81.67,75.54,85.0,84,6.17,1594954413.0
135,narsaq,GL,60.92,-46.05,55.4,35.0,22,8.05,1594954413.0
136,high prairie,CA,55.43,-116.49,63.28,82.0,100,2.64,1594954413.0
137,lompoc,US,34.64,-120.46,66.0,72.0,5,11.41,1594954413.0
138,emilio carranza,MX,19.97,-96.61,79.43,81.0,0,9.95,1594954413.0
139,phillipsburg,US,40.69,-75.19,70.0,79.0,100,3.0,1594954117.0
140,berlevag,NO,70.86,29.09,53.6,87.0,88,1.12,1594954414.0
141,bambous virieux,MU,-20.34,57.76,69.8,77.0,40,6.93,1594954414.0
142,hobart,AU,-42.88,147.33,50.0,61.0,20,8.05,1594954196.0
143,nikolskoye,RU,59.7,30.79,59.0,87.0,100,4.47,1594954414.0
144,alugan,PH,12.22,125.48,87.04,62.0,94,6.4,1594954414.0
146,talnakh,RU,69.49,88.4,50.0,76.0,75,20.13,1594954414.0
147,duobao,CN,30.67,112.69,75.0,93.0,100,3.56,1594954414.0
148,kruisfontein,ZA,-34.0,24.73,47.25,44.0,0,5.48,1594954415.0
149,mantes-la-ville,FR,48.97,1.7,62.01,77.0,41,1.12,1594954415.0
150,barra do garcas,BR,-15.89,-52.26,68.43,39.0,0,2.77,1594954415.0
151,puerto escondido,MX,15.85,-97.07,80.82,78.0,72,1.68,1594954226.0
152,puerto ayora,EC,-0.74,-90.35,66.99,91.0,8,1.01,1594954415.0
153,dikson,RU,73.51,80.55,41.25,94.0,30,5.61,1594954415.0
154,iguape,BR,-24.71,-47.56,61.45,92.0,39,3.22,1594954142.0
155,turukhansk,RU,65.82,87.98,56.84,60.0,57,21.43,1594954415.0
156,kalavad,IN,22.22,70.38,84.99,10.0,66,8.93,1594954416.0
157,souillac,MU,-20.52,57.52,69.8,77.0,40,6.93,1594954416.0
158,castro,BR,-24.79,-50.01,55.62,92.0,71,5.03,1594954211.0
159,saldanha,ZA,-33.01,17.94,42.8,81.0,0,3.36,1594954416.0
162,ewa beach,US,21.32,-158.01,87.8,70.0,20,13.87,1594954416.0
163,todos santos,MX,23.45,-110.22,79.0,81.0,0,0.92,1594954416.0
164,nanortalik,GL,60.14,-45.24,48.27,62.0,2,6.26,1594954416.0
165,svetlogorsk,BY,52.63,29.73,54.88,83.0,0,2.19,1594954416.0
166,longyearbyen,SJ,78.22,15.64,44.6,87.0,40,1.23,1594954416.0
167,okhotsk,RU,59.38,143.3,58.6,82.0,100,8.66,1594954417.0
169,hilo,US,19.73,-155.09,84.2,66.0,90,10.29,1594954372.0
170,tsogni,GA,-2.79,10.1,68.94,97.0,81,2.75,1594954417.0
172,hasaki,JP,35.73,140.83,68.0,100.0,75,10.29,1594954417.0
173,muroto,JP,33.28,134.15,77.0,78.0,40,5.82,1594954417.0
175,paralimni,CY,35.04,33.98,73.0,88.0,75,3.36,1594954417.0
177,yurimaguas,PE,-5.9,-76.08,72.57,85.0,71,1.05,1594954417.0
178,kaitangata,NZ,-46.28,169.85,48.0,57.0,30,8.01,1594954418.0
179,itarema,BR,-2.92,-39.92,77.45,82.0,0,12.5,1594954418.0
180,chokurdakh,RU,70.63,147.92,51.13,59.0,77,6.17,1594954418.0
181,manisa,TR,38.83,28.17,57.79,76.0,0,4.0,1594954418.0
182,saint-ambroise,CA,48.55,-71.33,64.4,59.0,90,12.75,1594954418.0
183,fernie,CA,49.5,-115.07,71.6,53.0,75,12.75,1594954343.0
184,tecoanapa,MX,16.52,-98.75,82.76,75.0,88,2.17,1594954418.0
185,mahina,PF,-17.51,-149.49,80.6,78.0,75,4.7,1594954418.0
186,manokwari,ID,-0.87,134.08,84.99,63.0,0,4.9,1594954273.0
187,rapallo,IT,44.35,9.23,69.01,99.0,35,4.97,1594954418.0
188,buchanan,LR,5.88,-10.05,74.5,78.0,96,5.86,1594954418.0
189,razdolinsk,RU,58.42,94.67,58.77,63.0,38,12.01,1594954418.0
190,port hedland,AU,-20.32,118.57,78.8,11.0,0,8.05,1594954418.0
191,boulder city,US,35.98,-114.83,102.2,10.0,1,13.87,1594954419.0
192,dolores,AR,-36.31,-57.68,43.25,78.0,0,5.01,1594954419.0
193,kodiak,US,57.79,-152.41,57.2,82.0,90,6.93,1594954419.0
194,mwinilunga,ZM,-11.74,24.43,45.48,80.0,35,8.75,1594954419.0
195,grindavik,IS,63.84,-22.43,46.4,87.0,75,28.86,1594954419.0
197,noumea,NC,-22.28,166.46,77.0,41.0,0,12.75,1594954419.0
198,avera,US,33.19,-82.53,82.4,83.0,1,3.36,1594954419.0
199,portland,US,45.52,-122.68,77.0,59.0,1,1.01,1594953692.0
200,thompson,CA,55.74,-97.86,66.2,68.0,40,11.41,1594954419.0
202,mehamn,NO,71.04,27.85,53.6,87.0,88,1.12,1594954419.0
203,havelock,US,34.88,-76.9,80.6,86.0,1,3.78,1594954306.0
204,kushima,JP,31.46,131.23,75.2,78.0,75,4.7,1594954420.0
205,sao filipe,CV,14.9,-24.5,74.55,83.0,39,3.31,1594954420.0
206,hervey bay,AU,-25.3,152.85,69.01,44.0,0,5.99,1594954420.0
207,vardo,NO,70.37,31.11,57.2,76.0,99,8.05,1594954420.0
208,mount isa,AU,-20.73,139.5,73.4,16.0,93,8.05,1594954420.0
209,vanavara,RU,60.34,102.28,56.08,87.0,55,9.04,1594954420.0
211,lardos,GR,36.09,28.02,77.0,78.0,0,9.17,1594954420.0
212,umm kaddadah,SD,13.6,26.69,82.67,52.0,47,11.92,1594954420.0
213,taoudenni,ML,22.68,-3.98,94.28,27.0,15,7.83,1594954420.0
215,pisco,PE,-13.7,-76.22,60.8,82.0,90,11.41,1594954420.0
216,axim,GH,4.87,-2.24,73.69,91.0,27,7.45,1594954420.0
217,bagrami,AF,34.49,69.27,69.8,64.0,75,5.82,1594954420.0
218,saint-pierre,RE,-21.34,55.48,64.4,82.0,75,5.82,1594954421.0
219,harper,LR,4.38,-7.72,74.66,79.0,90,7.99,1594954421.0
220,oussouye,SN,12.48,-16.55,75.2,100.0,79,8.52,1594954421.0
221,iroquois falls,CA,48.77,-80.68,66.2,77.0,40,4.7,1594954421.0
222,grand-santi,GF,4.25,-54.38,72.48,95.0,100,2.57,1594954421.0
223,vila velha,BR,-20.33,-40.29,66.2,88.0,40,3.36,1594954421.0
224,isla mujeres,MX,21.23,-86.73,82.99,83.0,5,3.36,1594954421.0
225,pangnirtung,CA,66.15,-65.71,63.1,33.0,43,4.14,1594954421.0
226,ambanja,MG,-13.68,48.45,65.44,81.0,22,4.92,1594954421.0
227,vallenar,CL,-28.57,-70.76,59.56,37.0,0,0.4,1594954421.0
228,sinnamary,GF,5.38,-52.95,78.26,86.0,96,9.31,1594954421.0
229,mar del plata,AR,-38.0,-57.56,46.0,86.0,0,2.24,1594954151.0
230,morro bay,US,35.37,-120.85,66.0,81.0,16,4.0,1594954421.0
231,alta floresta,BR,-9.88,-56.09,72.77,54.0,19,1.01,1594954421.0
232,itanhem,BR,-17.17,-40.33,62.96,92.0,60,3.02,1594954421.0
233,uniara,IN,26.15,75.22,90.68,55.0,74,7.4,1594954421.0
234,saint george,US,37.1,-113.58,100.4,11.0,1,10.29,1594954422.0
235,esperance,AU,-33.87,121.9,51.8,100.0,75,17.22,1594954210.0
237,akyab,MM,20.15,92.9,84.27,78.0,98,10.04,1594954422.0
238,yarada,IN,17.65,83.27,80.6,88.0,75,5.82,1594954422.0
239,sorland,NO,67.67,12.69,55.11,91.0,100,13.96,1594954422.0
241,cedar city,US,37.68,-113.06,80.6,18.0,1,4.7,1594954422.0
242,jiaxing,CN,30.75,120.75,80.01,1.0,100,9.28,1594954422.0
243,miro khan,PK,27.76,68.09,101.16,41.0,0,9.1,1594954422.0
244,yar-sale,RU,66.83,70.83,56.59,60.0,3,4.61,1594954422.0
245,mogadishu,SO,2.04,45.34,77.16,78.0,100,19.13,1594954422.0
246,topolobampo,MX,25.6,-109.05,90.0,67.0,8,7.0,1594954422.0
247,khatanga,RU,71.97,102.5,46.08,75.0,100,19.19,1594954422.0
248,kaeo,NZ,-35.1,173.78,61.0,3.0,100,10.0,1594954205.0
250,kita,ML,13.03,-9.49,72.72,91.0,100,1.59,1594954423.0
251,real,PH,14.66,121.6,93.0,63.0,14,4.0,1594954423.0
252,sawtell,AU,-30.38,153.1,68.0,52.0,75,23.04,1594954423.0
253,mahebourg,MU,-20.41,57.7,69.8,77.0,40,6.93,1594954423.0
254,salalah,OM,17.02,54.09,82.4,88.0,75,4.7,1594954423.0
255,dicabisagan,PH,17.08,122.42,89.02,61.0,80,10.54,1594954423.0
256,umreth,IN,22.7,73.12,80.6,88.0,75,5.82,1594954423.0
257,khasan,RU,42.43,130.64,70.27,82.0,85,6.17,1594954423.0
258,scottsbluff,US,41.87,-103.67,86.0,40.0,1,6.93,1594954423.0
259,rafai,CF,4.95,23.92,67.75,98.0,98,1.32,1594954423.0
260,seydi,TM,39.48,62.91,89.17,14.0,0,13.49,1594954423.0
261,nong khai,TH,17.88,102.74,86.0,74.0,20,4.7,1594954423.0
262,rovaniemi,FI,66.5,25.72,53.6,100.0,56,5.82,1594954423.0
263,alofi,NU,-19.06,-169.92,80.6,69.0,40,9.17,1594954423.0
264,port lincoln,AU,-34.73,135.87,62.96,47.0,0,14.2,1594954423.0
265,algeciras,ES,36.13,-5.45,75.2,78.0,1,13.87,1594954424.0
267,hirara,JP,24.8,125.28,84.2,83.0,75,18.34,1594954424.0
268,amga,RU,60.9,131.96,85.89,32.0,2,6.49,1594954424.0
269,garissa,KE,-0.45,39.64,71.51,56.0,100,16.31,1594954424.0
270,bakel,SN,14.9,-12.46,79.0,80.0,98,13.27,1594954424.0
271,conde,BR,-7.26,-34.91,70.45,90.0,5,9.95,1594954424.0
272,prince albert,CA,53.2,-105.77,68.0,68.0,75,5.82,1594954424.0
274,bathsheba,BB,13.22,-59.52,82.4,74.0,20,13.87,1594954424.0
275,santa maria,BR,-29.68,-53.81,47.52,97.0,61,4.16,1594954424.0
276,shuangcheng,CN,45.35,126.28,86.0,66.0,2,11.18,1594954424.0
277,guozhen,CN,34.37,107.36,84.02,53.0,20,2.86,1594954424.0
278,livingston,GB,55.9,-3.52,62.6,82.0,90,13.87,1594954425.0
279,amherst,US,41.4,-82.22,75.99,78.0,75,6.93,1594954425.0
280,geraldton,AU,-28.77,114.6,62.6,55.0,40,19.46,1594954425.0
282,orlik,RU,52.52,99.83,48.61,72.0,100,2.8,1594954425.0
283,karratha,AU,-20.74,116.85,76.89,33.0,6,2.98,1594954425.0
284,eltham,NZ,-39.43,174.3,53.01,91.0,97,1.99,1594954425.0
285,ambovombe,MG,-25.17,46.08,63.05,68.0,82,9.69,1594954425.0
286,daru,PG,-9.08,143.21,77.56,81.0,87,14.94,1594954425.0
287,stepnogorsk,KZ,52.35,71.89,74.88,60.0,99,10.94,1594954425.0
288,waingapu,ID,-9.66,120.26,83.7,60.0,7,8.86,1594954425.0
289,kavaratti,IN,10.57,72.64,83.25,80.0,100,19.42,1594954425.0
290,shimoda,JP,34.67,138.95,68.0,94.0,75,12.75,1594954425.0
